Date,Open,High,Low,Close,Adj Close,Volume
2007-02-16,45.955.000.000,45.966.000.000,45.614.000.000,45.849.000.000,45.849.000.000,107391100
2007-02-21,45.849.000.000,46.095.000.000,45.558.000.000,46.090.000.000,46.090.000.000,73069000
2007-02-22,46.097.000.000,46.752.000.000,46.097.000.000,46.452.000.000,46.452.000.000,121582000
2007-02-23,46.452.000.000,46.517.000.000,45.813.000.000,46.016.000.000,46.016.000.000,76534200
2007-02-26,46.021.000.000,46.450.000.000,45.885.000.000,46.207.000.000,46.207.000.000,94900800
2007-02-27,46.190.000.000,46.190.000.000,42.571.000.000,43.145.000.000,43.145.000.000,189354000
2007-02-28,43.150.000.000,43.923.000.000,43.122.000.000,43.892.000.000,43.892.000.000,176098100
2007-03-01,43.886.000.000,43.886.000.000,42.037.000.000,43.517.000.000,43.517.000.000,131228800
2007-03-02,43.518.000.000,43.518.000.000,42.297.000.000,42.370.000.000,42.370.000.000,199570400
2007-03-05,42.370.000.000,42.370.000.000,41.117.000.000,41.179.000.000,41.179.000.000,123682700
2007-03-06,41.192.000.000,43.218.000.000,41.192.000.000,43.218.000.000,43.218.000.000,119195300
2007-03-07,43.224.000.000,43.396.000.000,42.660.000.000,42.667.000.000,42.667.000.000,128354000
2007-03-08,42.672.000.000,43.726.000.000,42.672.000.000,43.466.000.000,43.466.000.000,85353800
2007-03-09,43.466.000.000,44.173.000.000,43.466.000.000,44.133.000.000,44.133.000.000,129008600
2007-03-12,44.133.000.000,44.406.000.000,43.845.000.000,44.249.000.000,44.249.000.000,116185400
2007-03-13,44.249.000.000,44.249.000.000,42.724.000.000,42.749.000.000,42.749.000.000,159221400
2007-03-14,42.749.000.000,43.290.000.000,42.051.000.000,43.288.000.000,43.288.000.000,160333800
2007-03-15,43.289.000.000,43.573.000.000,42.951.000.000,43.278.000.000,43.278.000.000,136954300
2007-03-16,43.278.000.000,43.568.000.000,42.598.000.000,42.730.000.000,42.730.000.000,112346700
2007-03-19,42.734.000.000,43.714.000.000,42.734.000.000,43.713.000.000,43.713.000.000,142704400
2007-03-20,43.713.000.000,44.353.000.000,43.679.000.000,44.351.000.000,44.351.000.000,165675100
2007-03-21,44.350.000.000,45.631.000.000,44.350.000.000,45.631.000.000,45.631.000.000,201404600
2007-03-22,45.631.000.000,45.950.000.000,45.272.000.000,45.424.000.000,45.424.000.000,139703500
2007-03-23,45.425.000.000,45.759.000.000,45.168.000.000,45.533.000.000,45.533.000.000,82313000
2007-03-26,45.533.000.000,45.712.000.000,44.965.000.000,45.645.000.000,45.645.000.000,78423800
2007-03-27,45.646.000.000,45.646.000.000,45.143.000.000,45.207.000.000,45.207.000.000,95099400
2007-03-28,45.204.000.000,45.204.000.000,44.315.000.000,44.484.000.000,44.484.000.000,132180500
2007-03-29,44.493.000.000,45.570.000.000,44.493.000.000,45.355.000.000,45.355.000.000,134403900
2007-03-30,45.355.000.000,45.805.000.000,45.138.000.000,45.805.000.000,45.805.000.000,124972500
2007-04-02,45.805.000.000,45.805.000.000,45.225.000.000,45.597.000.000,45.597.000.000,141629100
2007-04-03,45.601.000.000,46.481.000.000,45.601.000.000,46.288.000.000,46.288.000.000,208963000
2007-04-04,46.290.000.000,46.692.000.000,46.113.000.000,46.554.000.000,46.554.000.000,121560000
2007-04-05,46.555.000.000,46.767.000.000,46.418.000.000,46.647.000.000,46.647.000.000,113833700
2007-04-09,46.650.000.000,47.239.000.000,46.650.000.000,46.855.000.000,46.855.000.000,124565500
2007-04-10,46.855.000.000,47.234.000.000,46.822.000.000,47.174.000.000,47.174.000.000,165433200
2007-04-11,47.173.000.000,47.573.000.000,46.680.000.000,46.939.000.000,46.939.000.000,169053700
